Date ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
196401,2.0413166666666664,0.6855500000000001,0.5838166666666667,1.7895285714285716,4.1158,2.6620166666666663,0.9433333333333334,2.0778285714285714,2.7944666666666667,3.3328,2.3351166666666665,1.2762285714285715,5.087000000000001,1.8141166666666668,1.95935,2.5998142857142854
196402,1.492133333333333,1.3263333333333336,1.8943333333333332,2.1450285714285715,1.8105333333333335,2.26035,3.14685,2.465357142857143,-0.4250333333333334,-0.5828,2.0941666666666667,2.705842857142857,2.5228833333333336,2.2044,3.681883333333333,1.5234714285714286
196403,2.141433333333333,1.1166166666666666,1.6194833333333332,1.495842857142857,2.15905,3.145916666666667,2.112766666666667,2.758614285714286,2.1036166666666665,2.902233333333333,3.1235166666666667,3.471971428571429,2.5736833333333333,5.8938999999999995,6.865416666666667,2.0723
196404,-1.2301,-1.1668500000000002,-0.010633333333333347,-0.2761571428571428,0.27163333333333356,-1.40345,-2.3729833333333334,0.23587142857142848,0.03198333333333333,-1.8634166666666667,-0.28058333333333324,0.32932857142857147,-0.5460166666666667,-2.4625999999999997,-2.3015166666666667,1.2391999999999999
196405,-1.2427666666666664,-0.35494999999999993,0.7799166666666665,1.2234285714285715,0.2639833333333333,0.35545,3.1709,1.6752857142857143,0.18471666666666672,1.2837999999999998,0.3258000000000001,1.4264428571428573,0.9086666666666666,2.4520166666666667,0.7570666666666667,0.40048571428571417
196406,1.9391166666666668,0.6127333333333332,0.62735,0.9891571428571428,-0.09231666666666676,2.2444,2.60955,2.2961285714285715,2.3634,0.9740500000000001,2.640333333333333,2.258142857142857,0.1990666666666667,2.6305333333333336,0.5798833333333334,1.766057142857143
196407,2.580683333333334,0.5636833333333334,1.7274333333333336,2.674285714285714,3.1114833333333336,1.9322333333333332,2.0362333333333336,2.574028571428571,2.958416666666667,3.841283333333333,2.2120166666666665,1.8605428571428573,3.5131833333333327,3.734066666666667,1.31935,1.4045714285714286
196408,-1.9619833333333332,-2.338283333333333,-1.9482666666666664,-1.3383,-1.0291333333333335,-0.0341,0.11125000000000007,-1.457,-0.7074833333333336,-1.7274166666666666,0.29996666666666666,-0.23042857142857143,0.3391166666666667,-1.7909333333333333,-1.8538666666666666,-1.7957999999999998
196409,1.24705,1.6833,4.164933333333333,2.405,5.854800000000001,2.4266166666666664,2.750833333333334,2.8114,4.888633333333333,1.5714,2.317066666666667,5.450857142857143,3.6186166666666666,2.8167333333333335,3.139466666666666,3.5661857142857145
196410,0.4967833333333334,4.34555,0.11233333333333333,0.3013,2.0617,2.4879833333333337,1.1770166666666666,1.9861285714285712,2.43865,0.5331166666666666,0.8304833333333334,0.7671571428571428,1.0922833333333333,1.8845166666666666,1.2564166666666667,1.921457142857143
