,alpha,betaMarket,betaValue,p_alpha,p_betaMarket,p_betaValue
Asset21,-0.5471535741198239,1.5195231616270157,0.9905497084122252,0.00115114626453707,8.179779053386624e-185,8.690161210079816e-36
Asset22,-0.04760501040894638,1.261506884330554,0.8059218688722376,0.7056236258031795,1.7542975533128115e-206,6.078771762514709e-41
Asset23,-0.017532837054238665,1.1669752124786255,0.8072206291571817,0.8861592981938299,1.328059459977561e-195,4.439450069615934e-43
Asset24,-0.06015129043387327,1.181402352687297,0.7329859667449411,0.6001134086279026,7.572194278740656e-213,7.124958779912413e-41
Asset25,0.00893775529035487,1.0846369496104575,0.5862059976891193,0.9419805949285676,2.050173915833189e-179,8.55600478297035e-25
Asset26,0.08097911610245376,1.1125689444789142,0.6886056179882127,0.4876044705072231,8.224350758739955e-196,9.559074723475315e-36
Asset27,-0.03784006340714635,1.1490810932836943,0.6224503664006968,0.7591829666815437,1.4874851475323027e-190,2.8903828943704388e-27
Asset28,0.04397143595238007,1.1659611047377432,0.40721266905210685,0.7359299132374111,5.091137244051689e-182,6.2764702337430724e-12
Asset29,0.00015825424978602176,1.2456633859582524,0.5774048073244108,0.9990633872303263,6.032924983053155e-189,1.5283025170355723e-20
Asset30,0.007906826039012327,1.4152576343262058,0.5429279123254173,0.9595568619144726,3.774596412888033e-185,2.314865490545397e-14
Asset31,-0.6378258556206082,1.4613235947821006,0.6368033327779757,0.0003992021977933431,4.7465277071403217e-163,7.448829371228145e-15
Asset32,-0.08492151096121761,1.2400312462793832,0.7171819160695383,0.5001589273294784,8.15650230815559e-203,1.2895074001445701e-33
Asset33,-0.2322353524576928,1.1746189456870766,0.5817481094931674,0.044943139388473094,9.704619992044521e-210,3.7861848854111406e-27
Asset34,-0.06477666510238335,1.164571476728669,0.5901276021386527,0.5738956028639774,1.0188869550830596e-208,5.0491106201432e-28
Asset35,-0.039145918834360555,1.0875087161558756,0.5971855152193039,0.7257312597452927,1.5287913721533564e-200,3.256394757198149e-30
